Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,comb
chaar botal vodka (remix),unknown,bollywooddance,ragini mms 2,9.3/10,chaar botal vodka (remix) unknown ragini mms 2 bollywooddance
dheemi dheemi,hariharan,bollywoodromantic,1947: earth,9.4/10,dheemi dheemi hariharan 1947: earth bollywoodromantic
dil me kayi armaan,aaman trikha,bollywoodsad,yeh hai judgement hanged till death,9.5/10,dil me kayi armaan aaman trikha yeh hai judgement hanged till death bollywoodsad
aahista aahista,"lucky ali, shreya ghoshal",bollywoodromantic,bachna ae haseeno,9.1/10,"aahista aahista lucky ali, shreya ghoshal bachna ae haseeno bollywoodromantic"
sooraj dooba hai yaron (remix),"aditi singh sharma, arijit singh",bollywooddance,roy,9.4/10,"sooraj dooba hai yaron (remix) aditi singh sharma, arijit singh roy bollywooddance"
o aasman wale,sonu nigam,bollywoodsad,aaja meri jaan,8.5/10,o aasman wale sonu nigam aaja meri jaan bollywoodsad
bawla sa sapna,"chorus, diva",bollywooddance,shaadi ke side effects,9.2/10,"bawla sa sapna chorus, diva shaadi ke side effects bollywooddance"
bheegh loon (male),ankit tiwari,bollywoodromantic,khamoshiyan,9.4/10,bheegh loon (male) ankit tiwari khamoshiyan bollywoodromantic
the mutton song,krishna beura,bollywooddance,love ka the end,9.1/10,the mutton song krishna beura love ka the end bollywooddance
o basanti pavan,unknown,bollywooddance,jis desh mein ganga behti hai,8.7/10,o basanti pavan unknown jis desh mein ganga behti hai bollywooddance
yeh umar hai kya,"asha bhosle, manna dey",bollywooddance,professor,9.1/10,"yeh umar hai kya asha bhosle, manna dey professor bollywooddance"
mein sharabi (remix),yo yo honey singh,bollywooddance,cocktail,9.4/10,mein sharabi (remix) yo yo honey singh cocktail bollywooddance
poore se zara sa kam hain,rashid khan,bollywoodsad,mausam,9.4/10,poore se zara sa kam hain rashid khan mausam bollywoodsad
brothers mashup,multiple,bollywooddance,brothers,9.4/10,brothers mashup multiple brothers bollywooddance
mili khaak mein mohabbat,mohammed rafi,bollywoodsad,chaudhvin ka chand,9.0/10,mili khaak mein mohabbat mohammed rafi chaudhvin ka chand bollywoodsad
laila majnu,"javed ali, monali thakur",bollywooddance,awesome mausam,8.8/10,"laila majnu javed ali, monali thakur awesome mausam bollywooddance"
dekho dekho dil ye bole,"adnan sami, shaan",bollywooddance,dhamaal,9.2/10,"dekho dekho dil ye bole adnan sami, shaan dhamaal bollywooddance"
na main dhan chahun,"geeta dutt, sudha malhotra",bollywoodsad,kala bazar,9.2/10,"na main dhan chahun geeta dutt, sudha malhotra kala bazar bollywoodsad"
anandoloke,clinton cerejo,bollywooddance,kahaani 2,9.6/10,anandoloke clinton cerejo kahaani 2 bollywooddance
kahan chal diye idhar to aao,mohammed rafi,bollywoodromantic,jhuk gaya aasman,9.1/10,kahan chal diye idhar to aao mohammed rafi jhuk gaya aasman bollywoodromantic
aaya aaya toofan,kishore kumar,bollywooddance,toofan,8.4/10,aaya aaya toofan kishore kumar toofan bollywooddance
monta re,amit trivedi,bollywoodsad,lootera,9.7/10,monta re amit trivedi lootera bollywoodsad
mere mehboob mein kya nahin,"asha bhosle, lata mangeshkar",bollywooddance,mere mehboob,8.6/10,"mere mehboob mein kya nahin asha bhosle, lata mangeshkar mere mehboob bollywooddance"
kal ki daulat aaj ki khushian,mohammed rafi,bollywooddance,asli naqli,9.1/10,kal ki daulat aaj ki khushian mohammed rafi asli naqli bollywooddance
saiyan se chhup ke,"anuradha paudwal, udit narayan",bollywooddance,beta,6.9/10,"saiyan se chhup ke anuradha paudwal, udit narayan beta bollywooddance"
sau saal pehle,"lata mangeshkar, mohammed rafi",bollywoodromantic,jab pyar kisi se hota hai,9.1/10,"sau saal pehle lata mangeshkar, mohammed rafi jab pyar kisi se hota hai bollywoodromantic"
g phaad ke (remix),"divya kumar, shefali alvarez",bollywooddance,happy ending,9.4/10,"g phaad ke (remix) divya kumar, shefali alvarez happy ending bollywooddance"
mere maula,"kailash kher, richa sharma",bollywoodsad,khakee,9.5/10,"mere maula kailash kher, richa sharma khakee bollywoodsad"
sajna ve,rahat fateh ali khan,bollywoodsad,life is beautiful,9.4/10,sajna ve rahat fateh ali khan life is beautiful bollywoodsad
mirzya,"akhtar chanal zahri, daler mehndi, nooran sisters, sain zahoor",bollywoodmotivational,mirzya - dare to love,9.0/10,"mirzya akhtar chanal zahri, daler mehndi, nooran sisters, sain zahoor mirzya - dare to love bollywoodmotivational"
sheesha-e-dil itna na uchhalo,lata mangeshkar,bollywooddance,dil apna aur preet parai,9.0/10,sheesha-e-dil itna na uchhalo lata mangeshkar dil apna aur preet parai bollywooddance
tanu weds manu returns (mashup),various,bollywooddance,tanu weds manu returns,9.0/10,tanu weds manu returns (mashup) various tanu weds manu returns bollywooddance
party all night,yo yo honey singh,bollywooddance,boss,8.5/10,party all night yo yo honey singh boss bollywooddance
party all night (remix),yo yo honey singh,bollywooddance,boss,8.5/10,party all night (remix) yo yo honey singh boss bollywooddance
jai govinda jai gopala,neeraj shridhar,bollywooddance,bullett raja,9.3/10,jai govinda jai gopala neeraj shridhar bullett raja bollywooddance
tera hi karam,pankaj awasthi,bollywoodsad,karam,9.3/10,tera hi karam pankaj awasthi karam bollywoodsad
rang birangi rakhee lekar,lata mangeshkar,bollywooddance,anpadh,8.8/10,rang birangi rakhee lekar lata mangeshkar anpadh bollywooddance
woh chand jaisi ladki,udit narayan,bollywoodromantic,devdas,9.4/10,woh chand jaisi ladki udit narayan devdas bollywoodromantic
woh chand jaisi ladki,udit narayan,bollywoodromantic,devdas,9.4/10,woh chand jaisi ladki udit narayan devdas bollywoodromantic
dooriyan hain zaroori bhi hai,"monica dogra, vishal dadlani",bollywooddance,break up ke baad,9.6/10,"dooriyan hain zaroori bhi hai monica dogra, vishal dadlani break up ke baad bollywooddance"
main hoon prem rogi,suresh wadkar,bollywooddance,prem rog,7.7/10,main hoon prem rogi suresh wadkar prem rog bollywooddance
jag ja,suresh wadkar,bollywoodromantic,omkara,9.1/10,jag ja suresh wadkar omkara bollywoodromantic
tumhi se,"shreya ghoshal, vijay yesudas",bollywoodromantic,chup chup ke,9.6/10,"tumhi se shreya ghoshal, vijay yesudas chup chup ke bollywoodromantic"
main kya karoon ram,lata mangeshkar,bollywooddance,sangam,8.6/10,main kya karoon ram lata mangeshkar sangam bollywooddance
na jane kahan tum the,"manna dey, suman kalyanpur",bollywoodromantic,zindagi aur khwab,9.2/10,"na jane kahan tum the manna dey, suman kalyanpur zindagi aur khwab bollywoodromantic"
meherbani (remix),jubin nautiyal,bollywooddance,the shaukeens,9.6/10,meherbani (remix) jubin nautiyal the shaukeens bollywooddance
jab zero diya mere bharat ne,"mahendra kapoor, manhar udhas",bollywoodpatriotic,purab aur pashchim,9.1/10,"jab zero diya mere bharat ne mahendra kapoor, manhar udhas purab aur pashchim bollywoodpatriotic"
hum tumhe kaise bataye,"aaman trikha, taraannum mallik",bollywoodromantic,ekkees toppon ki salaami,9.5/10,"hum tumhe kaise bataye aaman trikha, taraannum mallik ekkees toppon ki salaami bollywoodromantic"
rimjhim ke tarane leke aai barsaat,"geeta dutt, mohammed rafi",bollywoodromantic,kala bazar,8.8/10,"rimjhim ke tarane leke aai barsaat geeta dutt, mohammed rafi kala bazar bollywoodromantic"
kunwara,salim merchant,bollywooddance,jodi breakers,9.4/10,kunwara salim merchant jodi breakers bollywooddance
ja ja ja mere bachpan,lata mangeshkar,bollywooddance,junglee,9.1/10,ja ja ja mere bachpan lata mangeshkar junglee bollywooddance
o panchhi pyare sanjh sakare,asha bhosle,bollywooddance,bandini,9.3/10,o panchhi pyare sanjh sakare asha bhosle bandini bollywooddance
banda parwar,mohammed rafi,bollywooddance,phir wohi dil laya hoon,9.2/10,banda parwar mohammed rafi phir wohi dil laya hoon bollywooddance
mera jeena hai kya,neeraj shridhar,bollywoodromantic,aashayein,9.7/10,mera jeena hai kya neeraj shridhar aashayein bollywoodromantic
yeh hai bambai nagaria,kishore kumar,bollywooddance,don,8.5/10,yeh hai bambai nagaria kishore kumar don bollywooddance
masoom chehra ye qatil adayen,"lata mangeshkar, mohammed rafi",bollywoodromantic,dil tera deewana,9.1/10,"masoom chehra ye qatil adayen lata mangeshkar, mohammed rafi dil tera deewana bollywoodromantic"
shanana na,"abhijeet, alka yagnik, ayub, dabboo malik, jordy patel, sriijiit",bollywooddance,maine dil tujhko diya,9.4/10,"shanana na abhijeet, alka yagnik, ayub, dabboo malik, jordy patel, sriijiit maine dil tujhko diya bollywooddance"
mehboob mere,"alka yagnik, sukhwinder singh",bollywooddance,biwi no.1,9.2/10,"mehboob mere alka yagnik, sukhwinder singh biwi no.1 bollywooddance"
rote hue ate hain sab,kishore kumar,bollywooddance,muqaddar ka sikandar,8.9/10,rote hue ate hain sab kishore kumar muqaddar ka sikandar bollywooddance
tujhko jo paaya,mohit chauhan,bollywoodromance,crook,9.6/10,tujhko jo paaya mohit chauhan crook bollywoodromance
pe.. pe.. pepein (version 2),"hard kaur, master saleem, neeraj shridhar, tulsi kumar",bollywooddance,chance pe dance,9.5/10,"pe.. pe.. pepein (version 2) hard kaur, master saleem, neeraj shridhar, tulsi kumar chance pe dance bollywooddance"
touch me,"asha bhosle, kishore kumar",bollywoodromantic,himmat aur mehanat,8.6/10,"touch me asha bhosle, kishore kumar himmat aur mehanat bollywoodromantic"
samjho ho hi gaya,"arshad warsi, sanjay dutt, vinod rathod",bollywooddance,lage raho munna bhai,9.5/10,"samjho ho hi gaya arshad warsi, sanjay dutt, vinod rathod lage raho munna bhai bollywooddance"
miss india martee mujhpe,"adnan sami, amit kumar",bollywooddance,dhamal,9.4/10,"miss india martee mujhpe adnan sami, amit kumar dhamal bollywooddance"
kashmir ki kali hoon main,lata mangeshkar,bollywoodromantic,junglee,8.9/10,kashmir ki kali hoon main lata mangeshkar junglee bollywoodromantic
barsaat ke mausam mein,"kumar sanu, roop kumar rathod",bollywooddance,naajayaz,8.6/10,"barsaat ke mausam mein kumar sanu, roop kumar rathod naajayaz bollywooddance"
chammak challo (remix),"akon, hamsika iyer",bollywooddance,ra-one,9.3/10,"chammak challo (remix) akon, hamsika iyer ra-one bollywooddance"
aaj udta hua ek panchhi,mohammed rafi,bollywooddance,gehra daag,8.7/10,aaj udta hua ek panchhi mohammed rafi gehra daag bollywooddance
ek tu hi bharosa,lata mangeshkar,bollywooddevotional,pukar,9.2/10,ek tu hi bharosa lata mangeshkar pukar bollywooddevotional
dhanak,monali thakur,bollywooddance,dhanak,9.6/10,dhanak monali thakur dhanak bollywooddance
bhaag milky bhaag,"sanam puri, sonu kakkar",bollywooddance,running shaadi,9.2/10,"bhaag milky bhaag sanam puri, sonu kakkar running shaadi bollywooddance"
follow me,hard kaur,bollywooddance,ajab prem ki ghazab kahani,9.5/10,follow me hard kaur ajab prem ki ghazab kahani bollywooddance
mil gaya,"mohammed rafi, udit narayan, usha mangeshkar",bollywooddance,unees bees,9.6/10,"mil gaya mohammed rafi, udit narayan, usha mangeshkar unees bees bollywooddance"
paayal meri,"alka yagnik, udit narayan",bollywooddance,rajkumar,8.6/10,"paayal meri alka yagnik, udit narayan rajkumar bollywooddance"
sanam tum jahan mera dil wahan,asha bhosle,bollywooddance,kaalia,9.2/10,sanam tum jahan mera dil wahan asha bhosle kaalia bollywooddance
koi patthar se na maare,"shreya ghoshal, sonu nigam, sunidhi chauhan",bollywoodsad,aaja nachle,9.4/10,"koi patthar se na maare shreya ghoshal, sonu nigam, sunidhi chauhan aaja nachle bollywoodsad"
sun le meri payal ke geet,lata mangeshkar,bollywooddance,sasural,7.7/10,sun le meri payal ke geet lata mangeshkar sasural bollywooddance
le jaa tu mujhe,atif aslam,bollywood,f.a.l.t.u,9.7/10,le jaa tu mujhe atif aslam f.a.l.t.u bollywood
dil mein baji pyar ki shehnaiyan,lata mangeshkar,bollywooddance,kohinoor,8.8/10,dil mein baji pyar ki shehnaiyan lata mangeshkar kohinoor bollywooddance
darbadar,"altamash khan, divya kumar, harshit chouhan, monali thakur, shadaab",bollywoodromantic,i me aur main,9.4/10,"darbadar altamash khan, divya kumar, harshit chouhan, monali thakur, shadaab i me aur main bollywoodromantic"
main teri huyi re balma,asha bhosle,bollywooddance,gehra daag,8.4/10,main teri huyi re balma asha bhosle gehra daag bollywooddance
ek din aap,"alka yagnik, kumar sanu",bollywooddanceromantic,yes boss,9.5/10,"ek din aap alka yagnik, kumar sanu yes boss bollywooddanceromantic"
party to banti hai (remix),"meet bros, mika singh",bollywooddance,bhoothnath returns,8.5/10,"party to banti hai (remix) meet bros, mika singh bhoothnath returns bollywooddance"
kuch khaas,"mohit chauhan, neha bhasin",bollywooddance,fashion,9.1/10,"kuch khaas mohit chauhan, neha bhasin fashion bollywooddance"
baatein kuch ankahee,"adnan sami, pritam chakraborty",bollywoodromantic,life in a metro,9.5/10,"baatein kuch ankahee adnan sami, pritam chakraborty life in a metro bollywoodromantic"
aaj ki party (remix),mika singh,bollywooddance,bajrangi bhaijaan,9.3/10,aaj ki party (remix) mika singh bajrangi bhaijaan bollywooddance
ae watan ae watan humko teri qasam,mohammed rafi,bollywoodpatriotic,shaheed,9.6/10,ae watan ae watan humko teri qasam mohammed rafi shaheed bollywoodpatriotic
ajnabi,zebunnisa bangash,bollywoodromantic,madras cafe,9.3/10,ajnabi zebunnisa bangash madras cafe bollywoodromantic
peer manava,"shraddha pandit, sukhwinder singh",bollywooddance,black & white,9.2/10,"peer manava shraddha pandit, sukhwinder singh black & white bollywooddance"
kehta hai joker sara zamana,mukesh,bollywooddance,mera naam joker,9.0/10,kehta hai joker sara zamana mukesh mera naam joker bollywooddance
dil mein sanam ki soorat,"alka yagnik, kumar sanu",bollywoodromantic,phir teri kahani yaad aayi,9.1/10,"dil mein sanam ki soorat alka yagnik, kumar sanu phir teri kahani yaad aayi bollywoodromantic"
tanhai tanhai,"alka yagnik, udit narayan",bollywooddance,koyla,8.8/10,"tanhai tanhai alka yagnik, udit narayan koyla bollywooddance"
woh dekho jala ghar kisi ka,lata mangeshkar,bollywoodsad,anpadh,8.6/10,woh dekho jala ghar kisi ka lata mangeshkar anpadh bollywoodsad
zara nazron se kah do ji,hemant kumar,bollywoodromantic,bees saal baad,9.0/10,zara nazron se kah do ji hemant kumar bees saal baad bollywoodromantic
chaar botal vodka (remix),yo yo honey singh,bollywooddance,ragini mms 2,9.1/10,chaar botal vodka (remix) yo yo honey singh ragini mms 2 bollywooddance
jab tumhein aashiqui maloom,kumar sanu,bollywoodromantic,ajnabee,9.2/10,jab tumhein aashiqui maloom kumar sanu ajnabee bollywoodromantic
yaaron aesa hai,salim merchant,bollywooddance,rangrezz,9.7/10,yaaron aesa hai salim merchant rangrezz bollywooddance
tere ishq ka suroor,"aaman trikha, akshata dixit",bollywoodromantic,single,9.8/10,"tere ishq ka suroor aaman trikha, akshata dixit single bollywoodromantic"
ek sawal main karoon,"lata mangeshkar, mohammed rafi",bollywooddance,sasural,8.9/10,"ek sawal main karoon lata mangeshkar, mohammed rafi sasural bollywooddance"
its all about tonight,"rahul vaidya, sophie choudry, sunidhi chauhan",bollywooddance,ishkq in paris,8.8/10,"its all about tonight rahul vaidya, sophie choudry, sunidhi chauhan ishkq in paris bollywooddance"
dil mera ek aas ka panchhi,subir sen,bollywooddance,aas ka panchhi,8.9/10,dil mera ek aas ka panchhi subir sen aas ka panchhi bollywooddance
jaane kya dhoondhta hai,lucky ali,bollywooddance,sur,9.7/10,jaane kya dhoondhta hai lucky ali sur bollywooddance
sanam sanam,"shraddha pandit, sukhwinder singh",bollywooddance,mere dost picture abhi baki hai,8.1/10,"sanam sanam shraddha pandit, sukhwinder singh mere dost picture abhi baki hai bollywooddance"
yahaan vahaan,farhan akhtar,bollywooddance,shaadi ke side effects,9.1/10,yahaan vahaan farhan akhtar shaadi ke side effects bollywooddance
bambai se aaya mera dost,bappi lahiri,bollywooddance,aap ki khatir,8.4/10,bambai se aaya mera dost bappi lahiri aap ki khatir bollywooddance
dhin tak dhin tak,jaspinder narula,bollywoodromantic,bade miyan chote miyan,8.8/10,dhin tak dhin tak jaspinder narula bade miyan chote miyan bollywoodromantic
tujhe dekh dekh,rahat fateh ali khan,bollywood,kalyug,9.0/10,tujhe dekh dekh rahat fateh ali khan kalyug bollywood
capuchino,abhishek nehwal,bollywooddance,i me aur main,9.1/10,capuchino abhishek nehwal i me aur main bollywooddance
chalo dildar chalo,"himani kapoor, himesh reshammiya, vinit",bollywoodromantic,dil diya hai,9.3/10,"chalo dildar chalo himani kapoor, himesh reshammiya, vinit dil diya hai bollywoodromantic"
mil gayee woh manzilen,"alka yagnik, kumar sanu",bollywooddance,kabhi na kabhi,9.6/10,"mil gayee woh manzilen alka yagnik, kumar sanu kabhi na kabhi bollywooddance"
jaane kya,zubeen garg,bollywoodsad,pyaar ke side effects,9.6/10,jaane kya zubeen garg pyaar ke side effects bollywoodsad
main der karta nahin,"lata mangeshkar, suresh wadkar",bollywooddance,henna,7.9/10,"main der karta nahin lata mangeshkar, suresh wadkar henna bollywooddance"
gunday mashup,"bappi lahiri, javed ali, neha bhasin",bollywooddance,gunday,8.2/10,"gunday mashup bappi lahiri, javed ali, neha bhasin gunday bollywooddance"
gunday mashup,multiple,bollywooddance,gunday,8.2/10,gunday mashup multiple gunday bollywooddance
sheila ki jawani (remix),"sunidhi chauhan, vishal dadlani",bollywooddance,tees maar khan,8.9/10,"sheila ki jawani (remix) sunidhi chauhan, vishal dadlani tees maar khan bollywooddance"
laakh duniya kahe,"nisha mascarenhas, ram sampath",bollywoodsad,talaash,9.6/10,"laakh duniya kahe nisha mascarenhas, ram sampath talaash bollywoodsad"
ha raham mehfuz,"amit trivedi, murtuza qadir",bollywooddance,aamir,9.6/10,"ha raham mehfuz amit trivedi, murtuza qadir aamir bollywooddance"
jiyara jiyara,"alisha chinai, hard kaur",bollywooddance,prince,9.0/10,"jiyara jiyara alisha chinai, hard kaur prince bollywooddance"
all the best,"antara mitra, rana, soham",bollywooddance,all the best,9.2/10,"all the best antara mitra, rana, soham all the best bollywooddance"
mallo malli (lehmber hussainpuri),"hard kaur, lehmber hussainpuri",bollywooddance,mausam,9.3/10,"mallo malli (lehmber hussainpuri) hard kaur, lehmber hussainpuri mausam bollywooddance"
freak out,"aditi singh sharma, joi barua",bollywooddance,love ka the end,9.5/10,"freak out aditi singh sharma, joi barua love ka the end bollywooddance"
ab tohe jane na doongi,"payal dev, shreyas puranik",bollywoodromantic,bajirao mastani,9.7/10,"ab tohe jane na doongi payal dev, shreyas puranik bajirao mastani bollywoodromantic"
jugnu,udit narayan,bollywooddance,joker,8.6/10,jugnu udit narayan joker bollywooddance
sajda,k.k.,bollywooddance,bhool bhulaiyaa,9.4/10,sajda k.k. bhool bhulaiyaa bollywooddance
aha aha,falguni pathak,bollywoodromantic,na tum jaano na hum,8.8/10,aha aha falguni pathak na tum jaano na hum bollywoodromantic
dil ka qaraar,"shraddha pandit, sonu nigam",bollywoodromantic,sangharsh,9.3/10,"dil ka qaraar shraddha pandit, sonu nigam sangharsh bollywoodromantic"
wafa jo na ki to,asha bhosle,bollywoodromantic,muqaddar ka sikandar,8.9/10,wafa jo na ki to asha bhosle muqaddar ka sikandar bollywoodromantic
raabta tujhse raha,aaman trikha,bollywoodromantic,yeh hai judgement hanged till death,9.1/10,raabta tujhse raha aaman trikha yeh hai judgement hanged till death bollywoodromantic
teri tamanna,"kk, shilpa rao, zubeen garg",bollywooddance,the train,9.2/10,"teri tamanna kk, shilpa rao, zubeen garg the train bollywooddance"
lage na mora jiya,lata mangeshkar,bollywoodsad,ghunghat,9.2/10,lage na mora jiya lata mangeshkar ghunghat bollywoodsad
jane kya dhoondti rahti hai,mohammed rafi,bollywoodsad,shola aur shabnam,9.3/10,jane kya dhoondti rahti hai mohammed rafi shola aur shabnam bollywoodsad
mujhe dekhkar aap ka muskurana,mohammed rafi,bollywoodromantic,ek musafir ek hasina,9.5/10,mujhe dekhkar aap ka muskurana mohammed rafi ek musafir ek hasina bollywoodromantic
e  gulbadan phoolon ki mahek,mohammed rafi,bollywoodromantic,professor,9.1/10,e  gulbadan phoolon ki mahek mohammed rafi professor bollywoodromantic
chahat se hai begani,"alka yagnik, kumar sanu",bollywoodromantic,saajan chale sasural,8.4/10,"chahat se hai begani alka yagnik, kumar sanu saajan chale sasural bollywoodromantic"
action jackson,multiple,bollywooddance,action jackson,8.9/10,action jackson multiple action jackson bollywooddance
tujhko bhulana,"roshni baptist, sangeet haldipur",bollywooddance,murder 2,9.3/10,"tujhko bhulana roshni baptist, sangeet haldipur murder 2 bollywooddance"
chodo kal ki batein,mukesh,bollywoodpatriotic,hum hindustani,9.2/10,chodo kal ki batein mukesh hum hindustani bollywoodpatriotic
dooba re dooba,"alka yagnik, sonu nigam",bollywooddance,ishq vishk,9.3/10,"dooba re dooba alka yagnik, sonu nigam ishq vishk bollywooddance"
dillagi main jo beet jaye,"himesh reshammiya, jayesh gandhi, shaan, sonu nigam, sunidhi chauhan, vasundhara das",bollywooddance,aashiq banaya aapne,9.3/10,"dillagi main jo beet jaye himesh reshammiya, jayesh gandhi, shaan, sonu nigam, sunidhi chauhan, vasundhara das aashiq banaya aapne bollywooddance"
tere chehre pe,"kumar sanu, sonali vajpai",bollywoodromantic,baazigar,8.7/10,"tere chehre pe kumar sanu, sonali vajpai baazigar bollywoodromantic"
khulla saand,salim merchant,bollywooddance,rabba main kya karoon,9.0/10,khulla saand salim merchant rabba main kya karoon bollywooddance
rang se hui,kaushiki chakraborty,bollywooddance,gulaab gang,9.4/10,rang se hui kaushiki chakraborty gulaab gang bollywooddance
yeh hawa yeh fiza aa bhi jaa,mahendra kapoor,bollywoodromantic,gumrah,9.1/10,yeh hawa yeh fiza aa bhi jaa mahendra kapoor gumrah bollywoodromantic
meri jaaniye,"monali thakur, shaan",bollywooddance,i me aur mein,9.2/10,"meri jaaniye monali thakur, shaan i me aur mein bollywooddance"
tumhen muhabbat hai humne mana,"asha bhosle, mohammed rafi",bollywoodromantic,ek musafir ek hasina,9.4/10,"tumhen muhabbat hai humne mana asha bhosle, mohammed rafi ek musafir ek hasina bollywoodromantic"
dhadakne lagta hai mera dil,mohammed rafi,bollywooddance,dil tera deewana,9.4/10,dhadakne lagta hai mera dil mohammed rafi dil tera deewana bollywooddance
aiyo ji,"salim merchant, shraddha pandit",bollywooddance,satyagraha,8.4/10,"aiyo ji salim merchant, shraddha pandit satyagraha bollywooddance"
dagabaaz tori batiyan,lata mangeshkar,bollywoodromantic,gunga jumna,8.5/10,dagabaaz tori batiyan lata mangeshkar gunga jumna bollywoodromantic
teri yaad dilse bhulane chala hoon,mukesh,bollywoodsad,hariyali aur rasta,9.0/10,teri yaad dilse bhulane chala hoon mukesh hariyali aur rasta bollywoodsad
i dont luv u,"monali thakur, neuman pinto",bollywooddance,i don't luv u,9.2/10,"i dont luv u monali thakur, neuman pinto i don't luv u bollywooddance"
meter down,"adnan sami, merriene, nimosa",bollywooddance,taxi no. 9211,9.4/10,"meter down adnan sami, merriene, nimosa taxi no. 9211 bollywooddance"
zor ka jhatka haye (remix),"master saleem, richa sharma",bollywooddance,action replayy,9.2/10,"zor ka jhatka haye (remix) master saleem, richa sharma action replayy bollywooddance"
dil apna aur preet parai,lata mangeshkar,bollywoodsad,dil apna aur preet parai,9.0/10,dil apna aur preet parai lata mangeshkar dil apna aur preet parai bollywoodsad
ali ali  qawwali,"krishna beura, shraddha pandit, vijayta pandit",bollywooddevotional,deewaar,9.1/10,"ali ali  qawwali krishna beura, shraddha pandit, vijayta pandit deewaar bollywooddevotional"
kudi pataka driver,"hard kaur, mika singh",bollywooddance,challo driver,8.9/10,"kudi pataka driver hard kaur, mika singh challo driver bollywooddance"
dil jalon ka dil jala ke,asha bhosle,bollywooddance,zanjeer,9.1/10,dil jalon ka dil jala ke asha bhosle zanjeer bollywooddance
teri choodiyan da crazy crazy sound,wajid khan,bollywooddance,ishkq in paris,8.3/10,teri choodiyan da crazy crazy sound wajid khan ishkq in paris bollywooddance
kubool kar le,"amit sana, monali thakur, prajakta shukre, rahul vaidya, suzanne, udit narayan",bollywooddance,jaan-e-mann,9.0/10,"kubool kar le amit sana, monali thakur, prajakta shukre, rahul vaidya, suzanne, udit narayan jaan-e-mann bollywooddance"
gaaye jaa (male),mohammed irfan,bollywooddance,brothers,9.7/10,gaaye jaa (male) mohammed irfan brothers bollywooddance
sing raja,"daler mehndi, sonu kakkar",bollywooddance,joker,9.4/10,"sing raja daler mehndi, sonu kakkar joker bollywooddance"
alif zaber aa,mohammed rafi,bollywooddance,love in shimla,9.1/10,alif zaber aa mohammed rafi love in shimla bollywooddance
apni bhi kya zindagi hai,mukesh,bollywoodsad,aas ka panchhi,8.7/10,apni bhi kya zindagi hai mukesh aas ka panchhi bollywoodsad
dil ashkon mein,"sonu kakkar, tony kakkar",bollywoodromance,fever,9.4/10,"dil ashkon mein sonu kakkar, tony kakkar fever bollywoodromance"
jaana hai,zubeen garg,bollywooddance,dum maaro dum,9.5/10,jaana hai zubeen garg dum maaro dum bollywooddance
badan juda hote hain,"falguni pathak, kumar sanu",bollywood,koyla,8.8/10,"badan juda hote hain falguni pathak, kumar sanu koyla bollywood"
naiyn tere zuke zuke (sad),pamela jain,bollywooddance,khelein hum jee jaan sey,9.2/10,naiyn tere zuke zuke (sad) pamela jain khelein hum jee jaan sey bollywooddance
daagh na lag jaye,"asha bhosle, mukesh",bollywooddance,mera naam joker,8.6/10,"daagh na lag jaye asha bhosle, mukesh mera naam joker bollywooddance"
mahi mennu nahi karna,labh janjua,bollywooddance,dev d,9.5/10,mahi mennu nahi karna labh janjua dev d bollywooddance
khullam khulla pyaar karen,"jojo mukherjee, sunidhi chauhan",bollywooddance,khullam khulla pyaar karen,8.8/10,"khullam khulla pyaar karen jojo mukherjee, sunidhi chauhan khullam khulla pyaar karen bollywooddance"
babbe mast,"altamas faridi, sonu kakkar",bollywooddance,what the fish,8.7/10,"babbe mast altamas faridi, sonu kakkar what the fish bollywooddance"
gori zara hans de tu hans de,mohammed rafi,bollywooddance,asli naqli,9.3/10,gori zara hans de tu hans de mohammed rafi asli naqli bollywooddance
mat ro mata lal tere,manna dey,bollywoodsad,bandini,9.2/10,mat ro mata lal tere manna dey bandini bollywoodsad
bismillah,kailash kher,bollywoodsad,aazaan,9.2/10,bismillah kailash kher aazaan bollywoodsad
shukriya zindagi shukriya zindagi,shafqat amanat ali,bollywoodromantic,aashayein,9.7/10,shukriya zindagi shukriya zindagi shafqat amanat ali aashayein bollywoodromantic
o janewale ho sake to laut ke aana,mukesh,bollywoodsad,bandini,9.2/10,o janewale ho sake to laut ke aana mukesh bandini bollywoodsad
aanchal men saja lena,mohammed rafi,bollywoodromantic,phir wohi dil laya hoon,9.5/10,aanchal men saja lena mohammed rafi phir wohi dil laya hoon bollywoodromantic
tum paas aa rahe ho,"jagjit singh, lata mangeshkar",bollywoodromantic,veer zaara,9.6/10,"tum paas aa rahe ho jagjit singh, lata mangeshkar veer zaara bollywoodromantic"
badle badle mere sarkar,lata mangeshkar,bollywoodsad,chaudhvin ka chand,8.8/10,badle badle mere sarkar lata mangeshkar chaudhvin ka chand bollywoodsad
ab ke baras bhejo bhaiya,asha bhosle,bollywoodsad,bandini,9.4/10,ab ke baras bhejo bhaiya asha bhosle bandini bollywoodsad
din dhal gaya hai,"alka yagnik, udit narayan",bollywooddance,dil tera deewana,8.0/10,"din dhal gaya hai alka yagnik, udit narayan dil tera deewana bollywooddance"
baadal,"adnan sami, alka yagnik",bollywooddance,yuva,9.6/10,"baadal adnan sami, alka yagnik yuva bollywooddance"
